against-the-matrix-153594.mp3|C:\Users\Admin\Documents\SFX for Edits\Song\against-the-matrix-153594.mp3|
against-the-matrix-153594.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\against-the-matrix-153594.mp3,EDM | Hightech | NCS | Stress
Tobu - Candyland [NCS Release].mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Tobu - Candyland [NCS Release].mp3, | Ballad | NCS
y2mate.com - Akacia  Electric NCS Release.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\y2mate.com - Akacia  Electric NCS Release.mp3, | EDM | NCS
02 MDK - ADHD - 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\02 MDK - ADHD - 320.mp3, | Ballad | Pop | Stress
03 MDK - Jelly Castle 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\03 MDK - Jelly Castle 320.mp3, | EditVideo | EDM | Hightech
04 MDK ft. Nick Sadler - Electabuzz 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\04 MDK ft. Nick Sadler - Electabuzz 320.mp3,
05 MDK - Eclipse (Interlude) 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\05 MDK - Eclipse (Interlude) 320.mp3,
06 MDK - The Great Gastly 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\06 MDK - The Great Gastly 320.mp3,
07 MDK - Suckerpunch 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\07 MDK - Suckerpunch 320.mp3,
08 MDK - Jelly Castle (Orchestral Mix) 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\08 MDK - Jelly Castle (Orchestral Mix) 320.mp3, | EditVideo | EDM
09 MDK ft. Nick Sadler - Cornwall Curbstomp 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\09 MDK ft. Nick Sadler - Cornwall Curbstomp 320.mp3,
10 MDK - Jelly Castle (Evan King Retro Mix) 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\10 MDK - Jelly Castle (Evan King Retro Mix) 320.mp3, | EditVideo | EDM | Hightech
11 MDK - Waves (Outro) 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\11 MDK - Waves (Outro) 320.mp3,
01 MDK - Sur La Wobble - 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\01 MDK - Sur La Wobble - 320.mp3,
01 MDK - Sur La Wobble (Orchestral Mix) - 320.mp3,C:\Users\Admin\Documents\SFX for Edits\Song\Jelly Castle\01 MDK - Sur La Wobble (Orchestral Mix) - 320.mp3,
